# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 1, 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 16, 87462, 159826, 438449, 686135, 404852, 262177, 1800155, 36388, 47139, 12, 55, 505, 2123000
4, 16, 87555, 119308, 1054224, 1384483, 1724109, 361922, 4448310, 49099, 98760, 25, 71, 7092, 4886648
4, 16, 87645, 6473, 195854, 458634, 33393, 247572, 906810, 35962, 8753, 11, 61, 685, 1075043
4, 16, 86999, 151546, 351884, 652975, 425559, 255989, 1688123, 36043, 39416, 15, 78, 719, 2001223
4, 16, 87327, 6440, 197811, 442609, 6622, 257422, 871359, 35733, 7867, 9, 58, 704, 1042602
4, 32, 174273, 61685, 392381, 1135956, 13512, 486703, 2003278, 35957, 14558, 20, 203, 635, 2315883
4, 32, 172603, 62255, 422863, 1098868, 13614, 474784, 1984123, 35894, 13928, 18, 194, 1042, 2296063
4, 32, 173375, 82221, 410202, 1126121, 14024, 482819, 2013051, 35826, 14867, 15, 181, 789, 2340440
4, 32, 174353, 60198, 464410, 1130760, 120561, 491598, 2038388, 49148, 14754, 12, 196, 7276, 2513266
4, 32, 173425, 60647, 548042, 1223726, 292642, 501960, 2570617, 36276, 40656, 18, 176, 793, 2878361
4, 32, 172927, 67276, 403313, 1073581, 27561, 474557, 1951304, 35957, 11945, 16, 178, 826, 2268137
4, 32, 172863, 68539, 806150, 1704277, 1104046, 519138, 4115741, 36024, 93194, 28, 200, 803, 4505262
4, 32, 173125, 66430, 790245, 1637989, 759397, 521933, 3733863, 35968, 62507, 35, 193, 779, 4048601
4, 32, 173232, 74676, 425749, 1140966, 33358, 473606, 2053351, 35854, 14520, 15, 182, 757, 2372915
4, 32, 174171, 66969, 814595, 1708434, 1021266, 522908, 4115666, 35900, 85690, 23, 178, 787, 4430921
4, 64, 344253, 79607, 919495, 3064437, 41102, 939289, 4960201, 35801, 32978, 31, 824, 917, 5458734
4, 64, 344070, 80455, 942062, 3168523, 110345, 940899, 5156370, 35693, 31336, 41, 812, 952, 5655188
4, 64, 344989, 89190, 950002, 3068956, 43100, 933121, 4992534, 35804, 34689, 30, 870, 949, 5501700
4, 64, 342857, 72698, 1388443, 3710682, 1068169, 1013711, 7264313, 35762, 120221, 44, 814, 915, 7754316
4, 64, 343113, 78737, 944150, 3136183, 66212, 915993, 5061010, 35751, 35316, 39, 807, 949, 5557250
4, 64, 342937, 80702, 921728, 3106909, 82387, 930708, 5037940, 35764, 33188, 41, 836, 931, 5536131
4, 64, 344846, 81312, 890447, 3126132, 87605, 962407, 5060193, 35739, 31201, 46, 798, 983, 5561516
4, 64, 344533, 84674, 935999, 3063606, 147135, 921730, 5064822, 35857, 34154, 51, 805, 951, 5569495
4, 64, 346330, 84126, 1490071, 3909408, 1252878, 997872, 7724254, 35565, 110966, 40, 792, 944, 8228992
4, 64, 342416, 85837, 1309926, 3742639, 947526, 981171, 7026036, 35812, 83245, 44, 825, 1059, 7530500
4, 128, 684236, 149073, 2013729, 8592570, 145261, 1837627, 12627236, 35711, 68227, 73, 4107, 1242, 13531856
4, 128, 687051, 154576, 2067190, 8761680, 700214, 1841586, 13437282, 35648, 100678, 84, 4068, 1224, 14353999
4, 128, 688129, 151045, 2205165, 8800344, 868200, 1876784, 13832969, 35545, 116257, 77, 4062, 1220, 14746828
4, 128, 686351, 178269, 2031035, 8622401, 513842, 1861973, 13077706, 35637, 81996, 81, 4072, 1188, 14016845
4, 128, 690019, 169988, 2031108, 8609219, 473458, 1833531, 12991701, 35556, 77124, 85, 4080, 1160, 13925328
4, 128, 683734, 1123444, 2281921, 8842211, 978873, 1856651, 14040211, 35511, 113824, 101, 4067, 1180, 15921517
4, 128, 694468, 155811, 2157050, 8669437, 651147, 1919868, 13460607, 48821, 116188, 84, 4106, 14593, 14431573
4, 128, 684943, 192297, 1962388, 8622100, 330155, 1861483, 12813466, 35641, 70623, 93, 4027, 1223, 13764973
4, 128, 693030, 159004, 2020454, 8503046, 307923, 1868089, 12735625, 35764, 68287, 94, 4094, 2117, 13661902
4, 128, 687263, 150187, 2253188, 8705237, 668128, 1872716, 13577894, 35550, 108962, 80, 3972, 1183, 14486466
4, 256, 1372984, 416921, 3993297, 22604758, 1131558, 3639156, 31524756, 35410, 162707, 179, 26050, 1799, 33384819
4, 256, 1364063, 411546, 3937268, 22289253, 1166523, 3703367, 31256518, 35533, 166992, 189, 26011, 1741, 33102486
4, 256, 1375493, 409837, 4025407, 23010940, 1563133, 3722627, 32480680, 35874, 168838, 206, 25460, 1788, 34339603
4, 256, 1362000, 409743, 4363773, 23493850, 2314828, 3708843, 34092544, 35972, 222817, 193, 24373, 1746, 35938138
4, 256, 1375449, 411788, 4197250, 23025547, 2149190, 3660345, 33253008, 35514, 230420, 187, 26128, 1787, 35113605
4, 256, 1375228, 410311, 5066593, 23992421, 4075175, 3769167, 37197858, 35383, 359630, 193, 24863, 1763, 39110727
4, 256, 1388431, 412003, 4179790, 23000442, 1784828, 3719453, 32872585, 41953, 198524, 182, 27394, 1775, 34754775
4, 256, 1389975, 412873, 4163850, 23222781, 1738322, 3672732, 33001729, 35592, 210720, 172, 26815, 1788, 34875620
4, 256, 1368232, 411330, 4421105, 24052095, 2528792, 3804224, 35060038, 35419, 263959, 179, 23780, 2709, 36911824
4, 256, 1380317, 411965, 3786657, 22571072, 949305, 3794835, 31250739, 35424, 160335, 168, 25940, 1763, 33117781
4, 512, 2736063, 1471412, 8171101, 66776666, 5149987, 7526282, 88214525, 35400, 479547, 401, 145173, 2878, 92494910
4, 512, 2733591, 1399942, 10542363, 68221851, 9992115, 7826975, 97573445, 35435, 881953, 416, 140721, 3272, 101778634
4, 512, 2775607, 1405910, 7730705, 64444001, 3290183, 7438866, 83413703, 35378, 399015, 399, 143497, 3292, 87666853
4, 512, 2719115, 1402711, 8475962, 65262540, 5023000, 7441416, 86877349, 35430, 568067, 406, 138534, 3321, 91070502
