# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
6, ABRIK, 8, 4096, 6.33893e-14, 265591055
6, ABRIK, 16, 16, 2.79746, 398163
6, ABRIK, 16, 32, 1.67757, 730404
6, ABRIK, 16, 64, 0.720729, 1368330
6, ABRIK, 16, 128, 0.290179, 3059471
6, ABRIK, 16, 256, 0.108227, 6032718
6, ABRIK, 16, 512, 0.0444586, 12124678
6, ABRIK, 16, 1024, 0.0090764, 25353948
6, ABRIK, 16, 2048, 5.06199e-05, 53964197
6, ABRIK, 16, 4096, 1.4282e-13, 127257301
6, ABRIK, 32, 32, 3.12305, 1219108
6, ABRIK, 32, 64, 1.66381, 2070588
6, ABRIK, 32, 128, 0.712644, 3799182
6, ABRIK, 32, 256, 0.28296, 8283879
6, ABRIK, 32, 512, 0.107182, 15966631
6, ABRIK, 32, 1024, 0.0366614, 31135702
6, ABRIK, 32, 2048, 0.00299192, 64196741
6, ABRIK, 32, 4096, 2.12726e-07, 135951560
6, Spectra, 0, 1, 1.6738, 392880
6, Spectra, 0, 2, 1.6738, 361795
6, Spectra, 0, 4, 1.6738, 367385
6, Spectra, 0, 8, 1.6738, 362097
6, Spectra, 0, 16, 1.6738, 361993
6, Spectra, 0, 32, 0.468584, 576835
