# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat1.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
5, RSVD, 32, 64, 0.040753, 742885
5, RSVD, 32, 128, 0.0111169, 1241176
5, RSVD, 32, 256, 0.00322817, 2488947
5, RSVD, 32, 512, 0.000863021, 4748832
5, RSVD, 32, 1024, 0.000225302, 9539291
5, RSVD, 32, 2048, 5.66699e-05, 18092719
5, RSVD, 32, 4096, 1.59872e-05, 37120216
6, ABRIK, 1, 0, 1, 114456
6, ABRIK, 4, 4, 3.6008, 478591
6, ABRIK, 4, 8, 2.13468, 848480
6, ABRIK, 4, 16, 1.25745, 1533003
6, ABRIK, 4, 32, 0.257745, 2787365
6, ABRIK, 4, 64, 5.84601e-05, 5382777
6, ABRIK, 4, 128, 9.28351e-14, 10480616
6, ABRIK, 4, 256, 9.35494e-14, 20330819
6, ABRIK, 4, 512, 9.47362e-14, 40500033
6, ABRIK, 4, 1024, 9.61126e-14, 77658500
6, ABRIK, 4, 2048, 9.39758e-14, 150641783
6, ABRIK, 4, 4096, 9.38118e-14, 297843413
6, ABRIK, 8, 8, 6.83458, 135953
6, ABRIK, 8, 16, 1.27597, 651743
6, ABRIK, 8, 32, 0.60493, 1637826
6, ABRIK, 8, 64, 0.00540263, 3510205
6, ABRIK, 8, 128, 2.11381e-09, 7248055
6, ABRIK, 8, 256, 9.89469e-14, 13594462
6, ABRIK, 8, 512, 1.0052e-13, 25982845
6, ABRIK, 8, 1024, 1.00783e-13, 50367197
6, ABRIK, 8, 2048, 1.00006e-13, 100899030
6, ABRIK, 8, 4096, 9.8962e-14, 198169643
6, ABRIK, 16, 16, 5.86221, 215235
6, ABRIK, 16, 32, 0.693433, 513685
6, ABRIK, 16, 64, 0.0475849, 1213336
6, ABRIK, 16, 128, 1.84737e-05, 2625004
6, ABRIK, 16, 256, 1.0753e-13, 4557937
6, ABRIK, 16, 512, 1.06225e-13, 9210062
6, ABRIK, 16, 1024, 1.04067e-13, 16700738
6, ABRIK, 16, 2048, 1.05161e-13, 31395817
6, ABRIK, 16, 4096, 1.04649e-13, 60205035
6, ABRIK, 32, 32, 3.15846, 396742
6, ABRIK, 32, 64, 0.211527, 1079167
6, ABRIK, 32, 128, 0.00339381, 2589001
6, ABRIK, 32, 256, 1.04101e-07, 4703155
6, ABRIK, 32, 512, 8.76549e-14, 11070692
6, ABRIK, 32, 1024, 9.23583e-14, 19904690
6, ABRIK, 32, 2048, 9.04723e-14, 33012394
6, ABRIK, 32, 4096, 9.01181e-14, 59259549
6, Spectra, 0, 1, 1.07751, 607545
6, Spectra, 0, 2, 1.07751, 607604
6, Spectra, 0, 4, 1.07751, 608355
6, Spectra, 0, 8, 1.07751, 607725
6, Spectra, 0, 16, 1.07751, 607589
6, Spectra, 0, 32, 0.0639794, 861528
6, Spectra, 0, 64, 2.28951e-10, 1672119
6, Spectra, 0, 128, 5.7612e-14, 2685361
6, Spectra, 0, 256, 5.68262e-14, 4358618
6, Spectra, 0, 512, 5.68262e-14, 4361176
6, Spectra, 0, 1024, 5.68262e-14, 4348406
6, Spectra, 0, 2048, 5.68262e-14, 4358436
6, Spectra, 0, 4096, 5.68262e-14, 4360010
6, RSVD, 32, 1, 0.310518, 136806
6, RSVD, 32, 2, 0.310518, 145136
6, RSVD, 32, 4, 0.701765, 181067
6, RSVD, 32, 8, 1.21803, 489996
6, RSVD, 32, 16, 0.555287, 607514
6, RSVD, 32, 32, 0.283562, 375958
6, RSVD, 32, 64, 0.0489004, 753415
6, RSVD, 32, 128, 0.013652, 1724982
6, RSVD, 32, 256, 0.00311727, 2316047
6, RSVD, 32, 512, 0.000944331, 6350258
6, RSVD, 32, 1024, 0.000234102, 9617887
6, RSVD, 32, 2048, 6.49804e-05, 19386801
6, RSVD, 32, 4096, 1.80939e-05, 38073477
7, ABRIK, 1, 0, 1, 89210
7, ABRIK, 4, 4, 1.34141, 467266
7, ABRIK, 4, 8, 0.449005, 878122
7, ABRIK, 4, 16, 1.16795, 1506992
7, ABRIK, 4, 32, 0.305843, 2768395
7, ABRIK, 4, 64, 0.000234331, 5214076
